,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
0,GRASS PLANTS,Grass,Hemp (canhamo),Whole crop,45.50,5.64,42.53,48.57,6.02,45.41,0.4380,0.3165,0.0023,0.158,0.0023,0.0305,0.0525,0.14722465911734833,0.027290147725505632
1,WASTE MATERIALS,Other waste,Paper,,43.40,5.80,44.30,46.42,6.2,47.38,0.4719,0.45,0.0313,0.0163,0.0001,0.0212,0.0092,0.22250706115098193,0.04675472612177715
2,GRASS PLANTS,Grass,Sunflower,Husk (seed),48.59,5.94,40.38,51.19,6.26,42.55,0.3965,0.3462,0.0555,0.0445,0.0104,0.1469,0.0,0.14126779610264228,0.01816522165483969
3,GRASS PLANTS,Grass,SugarCane,-,44.80,5.35,39.55,49.94,5.96,44.09,0.4231,0.3678,0.0359,0.0489,0.0041,0.1202,0.0,0.15269784098643788,0.0217011250282356
4,GRASS PLANTS,Grass,Mixed,-,44.69,6.04,43.61,47.37,6.4,46.23,0.4828,0.4153,0.0107,0.0261,0.0,0.0612,0.004,0.18494171316959576,0.033296822000281646
5,GRASS PLANTS,Grass,Cardoon,-,43.65,5.82,38.87,49.41,6.59,44.0,0.4331,0.3705,0.0263,0.0625,0.0025,0.1037,0.0014,0.15811071880334485,0.023896872056849115
6,GRASS PLANTS,Vegetables,Brassica,-,46.49,6.13,38.46,51.05,6.73,42.23,0.3977,0.3371,0.0436,0.0719,0.0163,0.1333,0.0,0.13909882244371283,0.01871335038762305
7,WOOD PLANTS,Hardwood,Cocoa,-,47.83,7.19,32.56,54.62,8.21,37.18,Outsider,,,,,,,,
8,WASTE MATERIALS,Food industry waste,Sugar beet,,44.50,5.90,42.78,47.76,6.33,45.91,0.4692,0.3965,0.0773,0.0052,0.0,0.0488,0.003,0.19012565212910978,0.035430240453176345
9,WASTE MATERIALS,Food industry waste,Beet,Pulp,38.45,5.14,36.93,47.76,6.38,45.87,0.4650,0.3928,0.0706,0.0172,0.0001,0.0445,0.0099,0.19066583017582198,0.035674423187721085
10,GRASS PLANTS,grass,Grass,Chaff (seed),40.70,5.41,37.21,48.85,6.49,44.66,0.4443,0.3743,0.0186,0.0708,0.0,0.087,0.0051,0.15892649703558734,0.025475043027510122
11,GRASS PLANTS,Grass,Napier grass,-,45.20,6.00,43.10,47.93,6.36,45.71,0.4660,0.3876,0.0103,0.0637,0.0,0.0624,0.0099,0.1752062560897856,0.030926420454840942
12,GRASS PLANTS,Grass,Sorghum,Straw (Millet),43.71,5.85,45.16,46.15,6.18,47.68,0.5099,0.4241,0.0023,0.0318,0.0,0.0215,0.0104,0.21757340809906653,0.04672187156109683
13,GRASS PLANTS,Grass,Verge grass,-,44.77,5.88,39.04,49.92,6.56,43.53,0.4194,0.3487,0.0256,0.0915,0.0088,0.1039,0.0021,0.14341928512104626,0.021545992223071235
14,GRASS PLANTS,Grass,Rice,Hull,38.68,5.14,37.45,47.59,6.32,46.08,0.4742,0.3937,0.0083,0.0587,0.0,0.0542,0.0109,0.1815146777457963,0.03320339177534263
15,GRASS PLANTS,Vegetables,Beet,Slices,44.56,5.89,42.76,47.8,6.32,45.87,0.4683,0.3859,0.0087,0.0684,0.0,0.0565,0.0122,0.174784669307696,0.03147476524147019
16,GRASS PLANTS,Grass,Hemp (canhamo),Crushed baled,43.98,5.77,40.14,48.92,6.42,44.65,0.4398,0.3608,0.0152,0.0943,0.001,0.0795,0.0094,0.15225907608206482,0.024921744840145994
17,GRASS PLANTS,Grass,Rice,Bran,39.92,5.25,37.71,48.17,6.33,45.5,0.4582,0.374,0.0097,0.0832,0.0,0.0614,0.0134,0.16102721117243196,0.02824633715978235
18,GRASS PLANTS,Grass,Wheat,Straw Pellets,45.16,5.89,40.38,49.39,6.44,44.17,0.4287,0.3483,0.0172,0.1057,0.0055,0.0857,0.0088,0.14829570200703054,0.023688781645066916
19,GRASS PLANTS,Grass,Rape (Canola-colza),Straw,46.12,6.01,41.02,49.51,6.45,44.04,0.4261,0.3459,0.018,0.1072,0.0068,0.0878,0.0083,0.15278485204788958,0.024179775856912052
20,GRASS PLANTS,Grass,Chinese straw,Pellets,37.07,4.89,37.17,46.85,6.18,46.98,0.4912,0.3986,0.0033,0.0598,0.0,0.0295,0.0177,0.19046752079093676,0.038482991766043396
21,GRASS PLANTS,Grass,Miscanthus,-,48.46,6.31,43.33,49.4,6.43,44.17,0.4282,0.3465,0.0167,0.1086,0.0059,0.0845,0.0095,0.1462403152896792,0.02341256651791502
22,WASTE MATERIALS,Food industry waste,Palm oil - Empty fruit bunches,,45.53,5.46,43.40,48.24,5.78,45.98,0.4104,0.3319,0.0019,0.1607,0.0007,0.0012,0.0931,0.14891166132765812,0.02888616550495715
23,GRASS PLANTS,Grass,Hemp (canhamo),-,45.00,5.87,41.48,48.73,6.35,44.92,0.4426,0.3567,0.0117,0.1054,0.0,0.0696,0.0141,0.15159881103879363,0.025623583498300215
24,GRASS PLANTS,Grass,Corn,Cob,45.87,6.01,45.07,47.32,6.2,46.48,0.4786,0.3847,0.0044,0.0753,0.0,0.0372,0.0198,0.17988114174937525,0.0348367306288238
25,GRASS PLANTS,Grass,Hemp (canhamo),-,45.31,5.91,42.92,48.13,6.28,45.59,0.4578,0.3677,0.008,0.0937,0.0,0.0552,0.0176,0.15313804908338463,0.0274021778984749
26,GRASS PLANTS,Grass,Intensive Grass,-,43.56,5.62,37.63,50.18,6.48,43.35,0.4111,0.3294,0.0211,0.1197,0.0164,0.096,0.0061,0.1395121763529871,0.021282500888106643
27,GRASS PLANTS,Grass,Barley,straw,43.70,5.71,42.76,47.42,6.2,46.39,0.4759,0.3812,0.0045,0.0796,0.0,0.0382,0.0207,0.17403525656590366,0.03343676705147995
28,GRASS PLANTS,Grass,Water hyacinth,-,40.05,5.13,31.81,52.02,6.66,41.32,0.3768,0.3013,0.0396,0.1061,0.0463,0.1298,0.0,0.13555189363405198,0.018231492310191857
29,GRASS PLANTS,Grass,Triticale,-,-,-,-,46.63,6.11,47.25,0.4954,0.3954,0.0017,0.0653,0.0,0.0192,0.023,0.1985964660688602,0.04173396129407728
30,GRASS PLANTS,Grass,Rice,Hull,47.23,6.07,40.14,50.54,6.5,42.96,0.4035,0.3215,0.0232,0.1241,0.0229,0.1008,0.0041,0.13705237549963273,0.020599016271848833
31,GRASS PLANTS,Grass,Bermuda Grass,Straw,44.36,5.74,40.69,48.85,6.32,44.82,0.4385,0.3483,0.0107,0.1166,0.0015,0.0672,0.0171,0.15065137789762845,0.025600204166652138
32,GRASS PLANTS,Grass,Rice,Straw,39.33,4.71,37.05,48.5,5.81,45.69,0.4263,0.3369,0.04,0.1088,0.0005,0.0242,0.0633,0.1517728382326341,0.028129457625572254
33,WOOD PLANTS,Hardwood,Cocoa,Beans,48.64,6.96,33.80,54.4,7.79,37.81,Outsider,,,,,,,,
34,GRASS PLANTS,Grass,Oat,Bran,-,-,-,47.56,6.17,46.27,0.4710,0.3715,0.004,0.092,0.0,0.0364,0.025,0.17340637742366383,0.033241220684372644
35,WOOD PLANTS,Hardwood,Cotton,Husk,48.79,8.13,38.53,51.12,8.52,40.37,Outsider,,,,,,,,
36,GRASS PLANTS,Grass,Sunflower,Spelt,55.34,6.88,32.70,58.31,7.25,34.45,0.2522,0.1985,0.1913,0.0,0.1281,0.2299,0.0,0.12241789730650324,0.011584899280816624
37,GRASS PLANTS,Garden Plants,Gerbera,flowers,43.98,6.74,34.74,51.46,7.89,40.65,0.3857,0.3028,0.0286,0.1281,0.0428,0.112,0.0,0.14003474159096027,0.020079368635309278
38,GRASS PLANTS,Grass,Switchgrass,-,-,-,-,47.05,6.1,46.85,0.4837,0.3791,0.002,0.0839,0.0,0.0227,0.0286,0.18272083972734554,0.0371462676126125
39,GRASS PLANTS,Grass,Hemp (canhamo),-,46.74,6.02,43.33,48.64,6.26,45.09,0.4420,0.3464,0.0082,0.1228,0.0001,0.0585,0.0221,0.1492283155749858,0.026067181813362324
40,WOOD PLANTS,Hardwood,Lupine,-,41.22,4.39,37.50,49.6,5.28,45.12,Outsider,,,,,,,,
41,GRASS PLANTS,Grass,Sorghum,Stalk,-,-,-,46.57,6.05,47.38,0.4959,0.3885,0.0009,0.0737,0.0,0.0115,0.0296,0.19896131881033777,0.04269135996820155
42,GRASS PLANTS,Grass,Switchgrass,-,-,-,-,49.54,5.99,44.47,0.4226,0.3311,0.0131,0.1306,0.0102,0.0762,0.0162,0.14386240141888654,0.023448501811003525
43,GRASS PLANTS,Grass,Mixed,Straw,47.49,6.07,41.30,50.06,6.4,43.54,0.4119,0.3224,0.0164,0.1336,0.0178,0.0858,0.0122,0.14106180264777954,0.02217165692364243
44,WOOD PLANTS,Hardwood,Cotton,-,39.53,5.10,41.54,45.87,5.92,48.21,Outsider,,,,,,,,
45,WOOD PLANTS,Hardwood,Oak,-,49.49,6.62,43.74,49.56,6.63,43.81,0.5548,0.2434,0.0906,0.0023,0.0138,0.0951,0.0,0.1843607004769635,0.029985147980442824
46,WOOD PLANTS,Hardwood,Poplar,-,47.67,6.15,45.29,48.1,6.21,45.69,0.5397,0.2607,0.0483,0.1025,0.0,0.0362,0.0125,0.175204160693233,0.034755527825859805
47,GRASS PLANTS,Grass,Oat,Hull,45.28,5.82,42.81,48.22,6.19,45.59,0.4524,0.3511,0.0054,0.1176,0.0001,0.0459,0.0274,0.1610059183892325,0.029400461023335597
48,GRASS PLANTS,Grass,Hemp (canhamo),Sillage,45.87,5.84,39.45,50.32,6.4,43.28,0.4062,0.315,0.0168,0.1392,0.0233,0.0874,0.012,0.14044530187065357,0.021901571761765045
49,GRASS PLANTS,Grass,Corn,Stover (densified - no binder),37.80,4.84,35.05,48.65,6.23,45.12,0.4410,0.3419,0.0072,0.1291,0.0005,0.055,0.0254,0.15509441567438811,0.027304264723106885
50,GRASS PLANTS,Grass,Sunflower,Shells (seed),52.79,6.59,35.93,55.39,6.91,37.7,0.3236,0.2507,0.0838,0.0364,0.1298,0.1757,0.0,0.14377066528318383,0.015771701698025
51,GRASS PLANTS,Grass,Switchgrass,-,-,-,-,47.44,6.09,46.48,0.4725,0.364,0.0023,0.1017,0.0001,0.0259,0.0335,0.17899176401655276,0.03541771342890781
52,GRASS PLANTS,Grass,Switchgrass,-,-,-,-,46.65,6.01,47.34,0.4929,0.3797,0.0005,0.0833,0.0,0.0078,0.0358,0.18422903630415458,0.03973638895059519
53,GRASS PLANTS,Grass,Kenaf,-,46.27,5.90,42.19,49.04,6.25,44.71,0.4320,0.3326,0.0083,0.1364,0.0051,0.0606,0.0249,0.14994145033664022,0.025669884210273525
54,WOOD PLANTS,Hardwood,Mixed,-,47.82,5.80,45.54,48.23,5.85,45.93,0.5274,0.2045,0.0048,0.1995,0.0,0.0044,0.0594,0.14342561806040247,0.029906439588070186
55,GRASS PLANTS,Grass,Rape (Canola-colza),Whole crop,50.46,6.26,33.63,55.85,6.93,37.22,0.3180,0.2441,0.089,0.0224,0.1474,0.1792,0.0,0.14598207016997763,0.015671626022993972
