material,temperature,ignition
Douglas-fir,688,1
Douglas-fir,762,1
Douglas-fir,662,1
Douglas-fir,788,1
Douglas-fir,585,0
Douglas-fir,569,0
Douglas-fir,597,1
Douglas-fir,561,0
Douglas-fir,604,1
Douglas-fir,583,1
Douglas-fir,564,0
Douglas-fir,588,1
Douglas-fir,565,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,0
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,750,1
Douglas-fir,350,0
Douglas-fir,602,1
Douglas-fir,250,0
Douglas-fir,254,0
Douglas-fir,325,0
Douglas-fir,371,0
Douglas-fir,408,0
Douglas-fir,437,0
Douglas-fir,461,0
Pine,538,0
Pine,712,1
Pine,625,0
Pine,669,1
Pine,646,1
Pine,618,0
Pine,654,1
Pine,620,0
Pine,651,1
Pine,636,0
Pine,632,0
Pine,650,1
Pine,633,1
Pine,642,0
Pine,648,1
Pine,631,0
Pine,647,1
Pine,632,0
Pine,645,1
Pine,645,1
Pine,633,0
Pine,632,1
Pine,617,0
Pine,621,1
Pine,624,0
Pine,626,0
Pine,627,1
Pine,622,0
Pine,623,1
Pine,620,0
